date,change,changeOverTime,changePercent,close,high,label,low,open,symbol,uClose,uHigh,uLow,uOpen,uVolume,volume
2014-12-01,0.0,0.0,0.0,326.0,340.64,"Dec 1, 14",325.93,338.12,AMZN,326.0,340.64,325.93,338.12,4944861,4944861
2014-12-02,0.31,0.000951,0.0951,326.31,327.93,"Dec 2, 14",323.25,327.5,AMZN,326.31,327.93,323.25,327.5,2790257,2790257
2014-12-03,-9.81,-0.029141,-3.0063,316.5,326.77,"Dec 3, 14",314.36,325.73,AMZN,316.5,326.77,314.36,325.73,5689904,5689904
2014-12-04,0.43,-0.027822,0.1359,316.93,318.59,"Dec 4, 14",313.47,315.53,AMZN,316.93,318.59,313.47,315.53,3296642,3296642
2014-12-05,-4.3,-0.041012,-1.3568,312.63,316.93,"Dec 5, 14",310.84,316.8,AMZN,312.63,316.93,310.84,316.8,3265214,3265214
2014-12-08,-5.99,-0.059387,-1.916,306.64,316.56,"Dec 8, 14",304.82,311.57,AMZN,306.64,316.56,304.82,311.57,3639180,3639180
2014-12-09,5.86,-0.041411,1.911,312.5,313.64,"Dec 9, 14",301.14,302.99,AMZN,312.5,313.64,301.14,302.99,4049506,4049506
2014-12-10,-6.66,-0.06184,-2.1312,305.84,313.19,"Dec 10, 14",304.68,312.0,AMZN,305.84,313.19,304.68,312.0,3245890,3245890
2014-12-11,1.52,-0.057178,0.497,307.36,312.64,"Dec 11, 14",306.01,307.89,AMZN,307.36,312.64,306.01,307.89,3272919,3272919
2014-12-12,-0.04,-0.057301,-0.013,307.32,310.64,"Dec 12, 14",303.01,303.99,AMZN,307.32,310.64,303.01,303.99,3162322,3162322
2014-12-15,-1.25,-0.061135,-0.4067,306.07,310.86,"Dec 15, 14",302.15,308.87,AMZN,306.07,310.86,302.15,308.87,3841577,3841577
2014-12-16,-11.01,-0.094908,-3.5972,295.06,304.49,"Dec 16, 14",295.01,304.35,AMZN,295.06,304.49,295.01,304.35,6501252,6501252
2014-12-17,3.82,-0.08319,1.2947,298.88,299.67,"Dec 17, 14",293.03,296.37,AMZN,298.88,299.67,293.03,296.37,4433505,4433505
2014-12-18,-1.15,-0.086718,-0.3848,297.73,304.5,"Dec 18, 14",293.25,304.01,AMZN,297.73,304.5,293.25,304.01,7738067,7738067
2014-12-19,2.17,-0.080061,0.7288,299.9,301.54,"Dec 19, 14",295.52,296.91,AMZN,299.9,301.54,295.52,296.91,8709129,8709129
2014-12-22,6.64,-0.059693,2.2141,306.54,307.36,"Dec 22, 14",301.94,301.94,AMZN,306.54,307.36,301.94,301.94,4003827,4003827
2014-12-23,-0.255,-0.060475,-0.0832,306.29,307.49,"Dec 23, 14",303.25,306.98,AMZN,306.29,307.49,303.25,306.98,2718359,2718359
