date,change,changeOverTime,changePercent,close,high,label,low,open,symbol,uClose,uHigh,uLow,uOpen,uVolume,volume
2014-12-01,0.0,0.0,0.0,532.34,539.93,"Dec 1, 14",530.4,537.42,GOOG,533.8,541.41,531.86,538.9,2109599,2115391
2014-12-02,-0.0498,-9.4e-05,-0.0094,532.29,534.03,"Dec 2, 14",528.35,532.05,GOOG,533.75,535.5,529.8,533.51,1522481,1526661
2014-12-03,-2.42,-0.004646,-0.4553,529.87,534.53,"Dec 3, 14",527.81,529.98,GOOG,531.32,536.0,529.26,531.44,1279288,1282800
2014-12-04,5.97,0.006576,1.1274,535.84,535.87,"Dec 4, 14",527.14,529.71,GOOG,537.31,537.34,528.59,531.16,1392208,1396030
2014-12-05,-12.02,-0.015998,-2.2427,523.82,531.43,"Dec 5, 14",522.84,529.55,GOOG,525.26,532.89,524.28,531.0,2558649,2565674
2014-12-08,1.72,-0.012776,0.3275,525.54,529.55,"Dec 8, 14",522.36,525.69,GOOG,526.98,531.0,523.79,527.13,2327127,2333516
2014-12-09,6.37,-0.000806,1.2126,531.91,532.73,"Dec 9, 14",519.07,520.71,GOOG,533.37,534.19,520.5,522.14,1871268,1876406
2014-12-10,-7.29,-0.0145,-1.3705,524.62,534.86,"Dec 10, 14",524.12,531.62,GOOG,526.06,536.33,525.56,533.08,1716835,1721549
2014-12-11,2.27,-0.010228,0.4334,526.89,532.46,"Dec 11, 14",525.66,526.35,GOOG,528.34,533.92,527.1,527.8,1610964,1615387
2014-12-12,-9.65,-0.028363,-1.8322,517.24,527.05,"Dec 12, 14",517.24,522.08,GOOG,518.66,528.5,518.66,523.51,1989117,1994578
2014-12-15,-4.85,-0.037467,-0.937,512.39,521.67,"Dec 15, 14",511.86,521.31,GOOG,513.8,523.1,513.27,522.74,2812786,2820509
2014-12-16,-18.36,-0.071956,-3.5831,494.03,511.65,"Dec 16, 14",487.66,510.16,GOOG,495.39,513.05,489.0,511.56,3953371,3964225
2014-12-17,9.47,-0.054159,1.9177,503.51,505.61,"Dec 17, 14",495.45,495.64,GOOG,504.89,507.0,496.81,497.0,2875281,2883175
2014-12-18,6.19,-0.042525,1.23,509.7,512.46,"Dec 18, 14",503.32,511.55,GOOG,511.1,513.87,504.7,512.95,2918730,2926743
2014-12-19,5.24,-0.03269,1.0272,514.94,516.3,"Dec 19, 14",505.52,510.11,GOOG,516.35,517.72,506.91,511.51,3680148,3690252
