date,change,changeOverTime,changePercent,close,high,label,low,open,symbol,uClose,uHigh,uLow,uOpen,uVolume,volume
2014-12-01,0.0,0.0,0.0,539.65,548.79,"Dec 1, 14",538.62,545.09,GOOGL,539.65,548.79,538.62,545.09,1994399,1994399
2014-12-02,-1.06,-0.001964,-0.1964,538.59,541.85,"Dec 2, 14",534.66,539.45,GOOGL,538.59,541.85,534.66,539.45,2073974,2073974
2014-12-03,-1.62,-0.004966,-0.3008,536.97,541.41,"Dec 3, 14",535.21,537.5,GOOGL,536.97,541.41,535.21,537.5,1623977,1623977
2014-12-04,5.61,0.005429,1.0448,542.58,542.69,"Dec 4, 14",534.89,537.64,GOOGL,542.58,542.69,534.89,537.64,1633688,1633688
2014-12-05,-14.5,-0.02144,-2.6724,528.08,538.2,"Dec 5, 14",527.26,536.7,GOOGL,528.08,538.2,527.26,536.7,3070118,3070118
2014-12-08,2.65,-0.016529,0.5018,530.73,533.82,"Dec 8, 14",527.0,529.22,GOOGL,530.73,533.82,527.0,529.22,3231818,3231818
2014-12-09,5.38,-0.00656,1.0137,536.11,536.65,"Dec 9, 14",523.41,525.88,GOOGL,536.11,536.65,523.41,525.88,2168813,2168813
2014-12-10,-8.07,-0.021514,-1.5053,528.04,539.36,"Dec 10, 14",527.49,535.9,GOOGL,528.04,539.36,527.49,535.9,2316204,2316204
2014-12-11,4.07,-0.013972,0.7708,532.11,537.04,"Dec 11, 14",529.16,530.01,GOOGL,532.11,537.04,529.16,530.01,2073290,2073290
2014-12-12,-10.6,-0.033614,-1.9921,521.51,532.24,"Dec 12, 14",521.46,527.44,GOOGL,521.51,532.24,521.46,527.44,2371543,2371543
2014-12-15,-5.67,-0.044121,-1.0872,515.84,525.37,"Dec 15, 14",515.4,523.76,GOOGL,515.84,525.37,515.4,523.76,2621977,2621977
2014-12-16,-17.68,-0.076883,-3.4274,498.16,515.58,"Dec 16, 14",497.19,513.6,GOOGL,498.16,515.58,497.19,513.6,4349882,4349882
2014-12-17,8.29,-0.061521,1.6641,506.45,509.07,"Dec 17, 14",499.11,499.86,GOOGL,506.45,509.07,499.11,499.86,3639437,3639437
2014-12-18,8.17,-0.046382,1.6132,514.62,516.25,"Dec 18, 14",506.56,515.99,GOOGL,514.62,516.25,506.56,515.99,3876732,3876732
2014-12-19,5.42,-0.036338,1.0532,520.04,520.81,"Dec 19, 14",508.86,516.99,GOOGL,520.04,520.81,508.86,516.99,4872059,4872059
2014-12-22,12.26,-0.01362,2.3575,532.3,532.97,"Dec 22, 14",520.59,520.61,GOOGL,532.3,532.97,520.59,520.61,3319461,3319461
2014-12-23,6.47,-0.001631,1.2155,538.77,542.3,"Dec 23, 14",533.72,534.51,GOOGL,538.77,542.3,533.72,534.51,2877222,2877222
2014-12-24,-1.84,-0.00504,-0.3415,536.93,540.29,"Dec 24, 14",535.1,538.82,GOOGL,536.93,540.29,535.1,538.82,737848,737848
2014-12-26,4.59,0.003465,0.8549,541.52,543.25,"Dec 26, 14",535.49,536.93,GOOGL,541.52,543.25,535.49,536.93,1113464,1113464
2014-12-29,-4.21,-0.004336,-0.7774,537.31,543.93,"Dec 29, 14",537.16,540.5,GOOGL,537.31,543.93,537.16,540.5,2218632,2218632
2014-12-30,-2.03,-0.008098,-0.3778,535.28,537.84,"Dec 30, 14",533.61,534.96,GOOGL,535.28,537.84,533.61,534.96,1048631,1048631
2014-12-31,-4.62,-0.016659,-0.8631,530.66,538.4,"Dec 31, 14",530.2,537.74,GOOGL,530.66,538.4,530.2,537.74,1236445,1236445
2015-01-02,-1.11,-0.018716,-0.2092,529.55,535.8,"Jan 2, 15",527.88,532.6,GOOGL,529.55,535.8,527.88,532.6,1327870,1327870
2015-01-05,-10.09,-0.037413,-1.9054,519.46,527.99,"Jan 5, 15",517.75,527.15,GOOGL,519.46,527.99,517.75,527.15,2059119,2059119
2015-01-06,-12.82,-0.061169,-2.4679,506.64,521.21,"Jan 6, 15",505.55,520.5,GOOGL,506.64,521.21,505.55,520.5,2731813,2731813
2015-01-07,-1.49,-0.06393,-0.2941,505.15,511.49,"Jan 7, 15",503.65,510.95,GOOGL,505.15,511.49,503.65,510.95,2345875,2345875
2015-01-08,1.76,-0.060669,0.3484,506.91,507.5,"Jan 8, 15",495.02,501.51,GOOGL,506.91,507.5,495.02,501.51,3662224,3662224
2015-01-09,-6.19,-0.072139,-1.2211,500.72,508.6,"Jan 9, 15",498.65,508.18,GOOGL,500.72,508.6,498.65,508.18,2100024,2100024
2015-01-12,-3.66,-0.078922,-0.7309,497.06,500.28,"Jan 12, 15",490.91,499.24,GOOGL,497.06,500.28,490.91,499.24,2856938,2856938
2015-01-13,4.74,-0.070138,0.9536,501.8,508.6,"Jan 13, 15",497.26,502.57,GOOGL,501.8,508.6,497.26,502.57,3050295,3050295
2015-01-14,4.13,-0.062485,0.823,505.93,508.26,"Jan 14, 15",498.16,500.42,GOOGL,505.93,508.26,498.16,500.42,2639959,2639959
2015-01-15,-1.92,-0.066043,-0.3795,504.01,509.75,"Jan 15, 15",502.01,508.89,GOOGL,504.01,509.75,502.01,508.89,2556682,2556682
2015-01-16,6.45,-0.0541,1.2787,510.46,510.85,"Jan 16, 15",503.09,503.15,GOOGL,510.46,510.85,503.09,503.15,2482858,2482858
