date,change,changeOverTime,changePercent,close,high,label,low,open,symbol,uClose,uHigh,uLow,uOpen,uVolume,volume
2014-12-01,0.0,0.0,0.0,48.62,48.78,"Dec 1, 14",47.71,47.88,MSFT,48.62,48.78,47.71,47.88,31191575,31191575
2014-12-02,-0.16,-0.003291,-0.3291,48.46,49.05,"Dec 2, 14",48.2,48.84,MSFT,48.46,49.05,48.2,48.84,25773478,25773478
2014-12-03,-0.38,-0.011107,-0.7842,48.08,48.5,"Dec 3, 14",47.81,48.44,MSFT,48.08,48.5,47.81,48.44,23534752,23534752
2014-12-04,0.76,0.004525,1.5807,48.84,49.06,"Dec 4, 14",48.2,48.39,MSFT,48.84,49.06,48.2,48.39,30345132,30345132
2014-12-05,-0.42,-0.004114,-0.86,48.42,48.97,"Dec 5, 14",48.38,48.82,MSFT,48.42,48.97,48.38,48.82,27313449,27313449
2014-12-08,-0.725,-0.019025,-1.4973,47.7,48.35,"Dec 8, 14",47.45,48.26,MSFT,47.7,48.35,47.45,48.26,26663107,26663107
2014-12-09,-0.105,-0.021185,-0.2201,47.59,47.92,"Dec 9, 14",47.05,47.11,MSFT,47.59,47.92,47.05,47.11,24330506,24330506
2014-12-10,-0.69,-0.035376,-1.4499,46.9,47.66,"Dec 10, 14",46.7,47.58,MSFT,46.9,47.66,46.7,47.58,30431788,30431788
2014-12-11,0.27,-0.029823,0.5757,47.17,47.74,"Dec 11, 14",46.68,47.08,MSFT,47.17,47.74,46.68,47.08,29061918,29061918
2014-12-12,-0.22,-0.034348,-0.4664,46.95,47.73,"Dec 12, 14",46.67,46.78,MSFT,46.95,47.73,46.67,46.78,34248371,34248371
2014-12-15,-0.28,-0.040107,-0.5964,46.67,47.67,"Dec 15, 14",46.55,47.2,MSFT,46.67,47.67,46.55,47.2,29247761,29247761
2014-12-16,-1.51,-0.071164,-3.2355,45.16,46.34,"Dec 16, 14",45.13,45.9,MSFT,45.16,46.34,45.13,45.9,47801392,47801392
2014-12-17,0.58,-0.059235,1.2843,45.74,45.95,"Dec 17, 14",44.9,45.05,MSFT,45.74,45.95,44.9,45.05,34970865,34970865
2014-12-18,1.78,-0.022624,3.8916,47.52,47.52,"Dec 18, 14",46.34,46.58,MSFT,47.52,47.52,46.34,46.58,40105550,40105550
2014-12-19,0.14,-0.019745,0.2946,47.66,48.1,"Dec 19, 14",47.17,47.63,MSFT,47.66,48.1,47.17,47.63,64551182,64551182
2014-12-22,0.32,-0.013163,0.6714,47.98,48.12,"Dec 22, 14",47.71,47.78,MSFT,47.98,48.12,47.71,47.78,26565984,26565984
2014-12-23,0.47,-0.003497,0.9796,48.45,48.8,"Dec 23, 14",48.13,48.37,MSFT,48.45,48.8,48.13,48.37,23656529,23656529
2014-12-24,-0.31,-0.009872,-0.6398,48.14,48.64,"Dec 24, 14",48.08,48.64,MSFT,48.14,48.64,48.08,48.64,11442790,11442790
2014-12-26,-0.26,-0.01522,-0.5401,47.88,48.41,"Dec 26, 14",47.82,48.41,MSFT,47.88,48.41,47.82,48.41,13197817,13197817
2014-12-29,-0.43,-0.024064,-0.8981,47.45,47.78,"Dec 29, 14",47.26,47.7,MSFT,47.45,47.78,47.26,47.7,14439518,14439518
2014-12-30,-0.43,-0.032908,-0.9062,47.02,47.62,"Dec 30, 14",46.84,47.44,MSFT,47.02,47.62,46.84,47.44,16384692,16384692
2014-12-31,-0.57,-0.044632,-1.2123,46.45,47.44,"Dec 31, 14",46.45,46.73,MSFT,46.45,47.44,46.45,46.73,21552450,21552450
2015-01-02,0.31,-0.038256,0.6674,46.76,47.42,"Jan 2, 15",46.54,46.66,MSFT,46.76,47.42,46.54,46.66,27913852,27913852
2015-01-05,-0.435,-0.047203,-0.9303,46.33,46.73,"Jan 5, 15",46.25,46.37,MSFT,46.33,46.73,46.25,46.37,39673865,39673865
2015-01-06,-0.675,-0.061086,-1.4571,45.65,46.75,"Jan 6, 15",45.54,46.38,MSFT,45.65,46.75,45.54,46.38,36447854,36447854
2015-01-07,0.58,-0.049157,1.2705,46.23,46.46,"Jan 7, 15",45.49,45.98,MSFT,46.23,46.46,45.49,45.98,29114061,29114061
2015-01-08,1.36,-0.021185,2.9418,47.59,47.75,"Jan 8, 15",46.72,46.75,MSFT,47.59,47.75,46.72,46.75,29645202,29645202
2015-01-09,-0.4,-0.029412,-0.8405,47.19,47.82,"Jan 9, 15",46.9,47.61,MSFT,47.19,47.82,46.9,47.61,23944181,23944181
2015-01-12,-0.59,-0.041547,-1.2503,46.6,47.54,"Jan 12, 15",46.36,47.42,MSFT,46.6,47.54,46.36,47.42,23651887,23651887
2015-01-13,-0.245,-0.046586,-0.5258,46.36,47.91,"Jan 13, 15",46.06,46.97,MSFT,46.36,47.91,46.06,46.97,35270601,35270601
2015-01-14,-0.4,-0.054813,-0.8629,45.96,46.24,"Jan 14, 15",45.62,45.96,MSFT,45.96,46.24,45.62,45.96,29719580,29719580
2015-01-15,-0.475,-0.064582,-1.0336,45.48,46.38,"Jan 15, 15",45.41,46.22,MSFT,45.48,46.38,45.41,46.22,32750779,32750779
2015-01-16,0.76,-0.048951,1.6711,46.24,46.28,"Jan 16, 15",45.17,45.31,MSFT,46.24,46.28,45.17,45.31,35695289,35695289
2015-01-20,0.15,-0.045866,0.3244,46.39,46.65,"Jan 20, 15",45.57,46.3,MSFT,46.39,46.65,45.57,46.3,36161860,36161860
2015-01-21,-0.47,-0.055533,-1.0131,45.92,46.14,"Jan 21, 15",45.48,45.94,MSFT,45.92,46.14,45.48,45.94,39081143,39081143
2015-01-22,1.21,-0.030646,2.635,47.13,47.14,"Jan 22, 15",46.08,46.38,MSFT,47.13,47.14,46.08,46.38,35898035,35898035
2015-01-23,0.05,-0.029617,0.1061,47.18,47.39,"Jan 23, 15",46.8,47.36,MSFT,47.18,47.39,46.8,47.36,26211594,26211594
2015-01-26,-0.17,-0.033114,-0.3603,47.01,47.13,"Jan 26, 15",46.24,47.0,MSFT,47.01,47.13,46.24,47.0,42525530,42525530
2015-01-27,-4.35,-0.122583,-9.2534,42.66,43.2,"Jan 27, 15",42.11,42.95,MSFT,42.66,43.2,42.11,42.95,169163953,169163953
2015-01-28,-1.47,-0.152818,-3.4459,41.19,42.79,"Jan 28, 15",41.16,42.74,MSFT,41.19,42.79,41.16,42.74,84507078,84507078
2015-01-29,0.82,-0.135952,1.9908,42.01,42.12,"Jan 29, 15",40.79,40.93,MSFT,42.01,42.12,40.79,40.93,63585273,63585273
2015-01-30,-1.61,-0.169066,-3.8324,40.4,41.58,"Jan 30, 15",40.35,41.55,MSFT,40.4,41.58,40.35,41.55,78004944,78004944
2015-02-02,0.88,-0.150967,2.1782,41.28,41.37,"Feb 2, 15",40.23,40.59,MSFT,41.28,41.37,40.23,40.59,50352532,50352532
