date,change,changeOverTime,changePercent,close,high,label,low,open,symbol,uClose,uHigh,uLow,uOpen,uVolume,volume
2014-12-01,0.0,0.0,0.0,115.07,119.25,"Dec 1, 14",111.27,118.81,AAPL,115.07,119.25,111.27,118.81,83814037,83814037
2014-12-02,-0.44,-0.003824,-0.3824,114.63,115.75,"Dec 2, 14",112.75,113.5,AAPL,114.63,115.75,112.75,113.5,59348940,59348940
2014-12-03,1.3,0.007474,1.1341,115.93,116.35,"Dec 3, 14",115.11,115.75,AAPL,115.93,116.35,115.11,115.75,43063440,43063440
2014-12-04,-0.44,0.00365,-0.3795,115.49,117.2,"Dec 4, 14",115.29,115.77,AAPL,115.49,117.2,115.29,115.77,42155776,42155776
2014-12-05,-0.49,-0.000608,-0.4243,115.0,116.08,"Dec 5, 14",114.64,115.99,AAPL,115.0,116.08,114.64,115.99,38318895,38318895
2014-12-08,-2.6,-0.023203,-2.2609,112.4,114.65,"Dec 8, 14",111.62,114.1,AAPL,112.4,114.65,111.62,114.1,57664850,57664850
2014-12-09,1.72,-0.008256,1.5302,114.12,114.3,"Dec 9, 14",109.35,110.19,AAPL,114.12,114.3,109.35,110.19,60208036,60208036
2014-12-10,-2.17,-0.027114,-1.9015,111.95,114.85,"Dec 10, 14",111.54,114.41,AAPL,111.95,114.85,111.54,114.41,44565318,44565318
2014-12-11,-0.33,-0.029982,-0.2948,111.62,113.8,"Dec 11, 14",111.34,112.26,AAPL,111.62,113.8,111.34,112.26,41471578,41471578
2014-12-12,-1.89,-0.046407,-1.6932,109.73,111.87,"Dec 12, 14",109.58,110.46,AAPL,109.73,111.87,109.58,110.46,56028138,56028138
2014-12-15,-1.5,-0.059486,-1.3715,108.23,111.6,"Dec 15, 14",106.35,110.7,AAPL,108.23,111.6,106.35,110.7,67218082,67218082
2014-12-16,-1.48,-0.072347,-1.3675,106.75,110.16,"Dec 16, 14",106.26,106.37,AAPL,106.75,110.16,106.26,106.37,60790733,60790733
2014-12-17,2.67,-0.049187,2.4966,109.41,109.84,"Dec 17, 14",106.82,107.12,AAPL,109.41,109.84,106.82,107.12,53411773,53411773
2014-12-18,3.24,-0.021031,2.9613,112.65,112.65,"Dec 18, 14",110.66,111.87,AAPL,112.65,112.65,110.66,111.87,59006218,59006218
